Wall time,Step,Value
1778926271.6931622,1,0.4855947196483612
1778926327.4900014,2,0.4347453713417053
1778926384.1135018,3,0.41477659344673157
1778926439.7242846,4,0.39035657048225403
1778926495.8821065,5,0.3662305474281311
1778926552.2135344,6,0.3498668074607849
1778926608.6253815,7,0.3381749391555786
1778926666.151149,8,0.32348403334617615
1778926722.4249926,9,0.3067873418331146
1778926779.540487,10,0.30185821652412415
1778926836.5697148,11,0.29461684823036194
1778926892.15006,12,0.27742648124694824
1778926947.3589215,13,0.2680990695953369
1778927003.4855132,14,0.25900799036026
1778927060.9776442,15,0.24702420830726624
1778927117.9680324,16,0.23795172572135925
1778927174.5223496,17,0.23256166279315948
1778927230.2836125,18,0.22310689091682434
1778927285.9398837,19,0.21665742993354797
1778927342.752979,20,0.2088940143585205
1778927398.3672578,21,0.20196107029914856
1778927454.929293,22,0.19642047584056854
1778927511.062546,23,0.1885969489812851
1778927566.5031037,24,0.1785738617181778
1778927622.8460562,25,0.1749313324689865
1778927678.1986008,26,0.16855628788471222
1778927734.7551084,27,0.16298937797546387
1778927792.0810812,28,0.15893049538135529
1778927848.0578682,29,0.15389735996723175
1778927903.5257988,30,0.1489783674478531
1778927959.3262775,31,0.14478114247322083
1778928013.4675026,32,0.1404457837343216
1778928069.5892377,33,0.13719519972801208
1778928125.61294,34,0.13541969656944275
1778928181.2201457,35,0.13180503249168396
1778928237.075006,36,0.12992966175079346
1778928291.6052628,37,0.12837153673171997
1778928348.5943246,38,0.12701204419136047
1778928404.7760885,39,0.12743529677391052
1778928460.2897983,40,0.1261913925409317
