Wall time,Step,Value
1778926271.6931992,1,0.537898063659668
1778926327.4900382,2,0.5852312445640564
1778926384.113536,3,0.603030264377594
1778926439.7243223,4,0.6268477439880371
1778926495.882145,5,0.6484166383743286
1778926552.213607,6,0.6633254885673523
1778926608.6254225,7,0.6749739050865173
1778926666.1511874,8,0.6889705061912537
1778926722.425031,9,0.704332172870636
1778926779.5405228,10,0.7090532183647156
1778926836.569753,11,0.7162011861801147
1778926892.1500957,12,0.7322808504104614
1778926947.3589597,13,0.7407556176185608
1778927003.4855962,14,0.7493053674697876
1778927060.977678,15,0.7608726024627686
1778927117.968081,16,0.769053041934967
1778927174.5223854,17,0.7749817371368408
1778927230.2836516,18,0.7838369011878967
1778927285.9399188,19,0.7898122072219849
1778927342.7530484,20,0.797727108001709
1778927398.3672948,21,0.8042727708816528
1778927454.92934,22,0.8098663091659546
1778927511.0625818,23,0.817452073097229
1778927566.5031419,24,0.8271705508232117
1778927622.8460977,25,0.8308057188987732
1778927678.198676,26,0.8369081020355225
1778927734.755145,27,0.8422827124595642
1778927792.0811157,28,0.8463388681411743
1778927848.0579042,29,0.8513106107711792
1778927903.5258443,30,0.856099545955658
1778927959.326315,31,0.8601545691490173
1778928013.467537,32,0.8644075393676758
1778928069.5892727,33,0.8675808310508728
1778928125.6129756,34,0.8694356679916382
1778928181.220185,35,0.8728788495063782
1778928237.0750456,36,0.8747633099555969
1778928291.605297,37,0.8763303756713867
1778928348.5943599,38,0.8777132034301758
1778928404.7761247,39,0.8773029446601868
1778928460.2898338,40,0.8785005807876587
