Wall time,Step,Value
1778926271.6931353,1,0.08991152793169022
1778926327.4899747,2,0.08356024324893951
1778926384.113478,3,0.07612058520317078
1778926439.724259,4,0.07244470715522766
1778926495.8820815,5,0.06580163538455963
1778926552.2134867,6,0.06279127299785614
1778926608.625353,7,0.061263252049684525
1778926666.1511233,8,0.05714581906795502
1778926722.4249666,9,0.05403934791684151
1778926779.5404634,10,0.054498620331287384
1778926836.5696883,11,0.050700824707746506
1778926892.1500366,12,0.04970477893948555
1778926947.3588972,13,0.04589058831334114
1778927003.4854598,14,0.04450681060552597
1778927060.9776227,15,0.04109979420900345
1778927117.9680088,16,0.04058479145169258
1778927174.5223265,17,0.03896893188357353
1778927230.2835855,18,0.03692289814352989
1778927285.939861,19,0.0359683558344841
1778927342.7529337,20,0.03376657888293266
1778927398.3672323,21,0.03348015621304512
1778927454.9292705,22,0.03302100673317909
1778927511.0625215,23,0.031471602618694305
1778927566.5030768,24,0.030237026512622833
1778927622.8460298,25,0.02961951307952404
1778927678.1985493,26,0.028358710929751396
1778927734.7550843,27,0.027638433501124382
1778927792.0810578,28,0.02696751058101654
1778927848.0578449,29,0.02621089294552803
1778927903.52577,30,0.02543947473168373
1778927959.326252,31,0.0250716470181942
1778928013.4674788,32,0.02436894364655018
1778928069.589215,33,0.023930713534355164
1778928125.6129167,34,0.023459013551473618
1778928181.2201192,35,0.02283640019595623
1778928237.0749812,36,0.022690584883093834
1778928291.605241,37,0.02256654016673565
1778928348.5943012,38,0.022343570366501808
1778928404.776066,39,0.02245146967470646
1778928460.2897751,40,0.02230284921824932
