Wall time,Step,Value
1778926271.6930926,1,2.47810435295105
1778926327.4899278,2,2.287144184112549
1778926384.1134355,3,2.128906488418579
1778926439.7242115,4,1.9753775596618652
1778926495.8820424,5,1.9026057720184326
1778926552.213418,6,1.8640191555023193
1778926608.6252875,7,1.8782835006713867
1778926666.1510808,8,1.8371998071670532
1778926722.424926,9,1.78450345993042
1778926779.5404263,10,1.7723673582077026
1778926836.5696452,11,1.7451057434082031
1778926892.1499863,12,1.744894027709961
1778926947.3588557,13,1.7221238613128662
1778927003.485378,14,1.7015712261199951
1778927060.977577,15,1.6714533567428589
1778927117.9679637,16,1.6446787118911743
1778927174.5222895,17,1.659961462020874
1778927230.2835264,18,1.6314030885696411
1778927285.9398234,19,1.6195838451385498
1778927342.752845,20,1.5852055549621582
1778927398.367179,21,1.5845661163330078
1778927454.9292245,22,1.5929235219955444
1778927511.062473,23,1.5828979015350342
1778927566.5030305,24,1.5572893619537354
1778927622.8459873,25,1.555478572845459
1778927678.198474,26,1.5527244806289673
1778927734.755034,27,1.5376769304275513
1778927792.0810077,28,1.5352225303649902
1778927848.0577912,29,1.5290019512176514
1778927903.5257068,30,1.5178604125976562
1778927959.3262043,31,1.5136611461639404
1778928013.4674375,32,1.5060768127441406
1778928069.5891767,33,1.5087815523147583
1778928125.6128767,34,1.5095776319503784
1778928181.220074,35,1.4991328716278076
1778928237.074933,36,1.4999537467956543
1778928291.6052032,37,1.494974970817566
1778928348.5942621,38,1.4923498630523682
1778928404.7760222,39,1.4958068132400513
1778928460.2897289,40,1.4913756847381592
